State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
2,28,144,Barsar,12450,55556,167.89033008888643,331.0,HIMACHAL PRADESH,Hamirpur,74.15555138529169,97.3846209230326,97.59036144578312,99.3686354661172,85.3172,0.5082
2,28,145,Dhatwal,8628,37621,119.34545537659989,315.0,HIMACHAL PRADESH,Hamirpur,72.29433222047679,100.0,100.0,100.0,67.688,0.5672
2,28,146,Bhoranj,22318,90590,156.61915609938254,578.0,HIMACHAL PRADESH,Hamirpur,142.49853310305244,100.0,100.0,100.0,83.4255,0.5327
2,29,147,Bharwain,4044,17847,80.61058515312476,221.0,HIMACHAL PRADESH,Una,50.16710885199721,100.0,100.0,100.0,43.1394,0.5352
2,29,148,Amb,36710,168793,508.5407933574193,332.0,HIMACHAL PRADESH,Una,72.18693265025642,95.491519198071,95.39362571506402,98.251860988121,293.5494,0.5772
2,29,149,Bangana,15570,73035,417.22171543439765,175.0,HIMACHAL PRADESH,Una,37.31828767299186,100.0,100.0,100.0,164.3942,0.394
2,29,150,Una,39901,190082,335.7102245797901,566.0,HIMACHAL PRADESH,Una,118.8554803475058,80.37531170757883,79.60201498709306,96.54463905157498,230.8173,0.6875
2,29,151,Haroli,14107,71416,197.91260251209144,361.0,HIMACHAL PRADESH,Una,71.2789373740772,100.0,100.0,100.0,89.9806,0.4546
2,30,152,Ghumarwin,19593,89516,192.2906042772552,466.0,HIMACHAL PRADESH,Bilaspur,101.89265395281473,91.17587917243844,90.83346092992394,98.38785674856466,108.5271,0.5644
2,30,153,Bharari,10174,45713,95.20557077659326,480.0,HIMACHAL PRADESH,Bilaspur,106.863494614974,100.0,100.0,100.0,32.0789,0.3369
2,30,154,Jhanduta,19425,91562,329.3065179482941,278.0,HIMACHAL PRADESH,Bilaspur,58.98759648313432,97.40940564863152,97.50836550836551,99.12239817844912,140.941,0.428
2,30,155,Naina Devi,9147,46684,269.0712781851097,174.0,HIMACHAL PRADESH,Bilaspur,33.99470973526669,97.42095792991176,97.08101016726796,99.65808316435502,81.4799,0.3028
2,30,156,Bilaspur Sadar,15873,75714,180.2743671889473,420.0,HIMACHAL PRADESH,Bilaspur,88.04912338626242,81.96634704281904,79.67617967617969,94.1089794596982,90.5047,0.502
2,30,157,Namhol,6273,32767,100.8644995250186,325.0,HIMACHAL PRADESH,Bilaspur,62.19234745168229,100.0,100.0,100.0,37.9184,0.3759
2,31,158,Arki,11284,56908,230.19395564347604,247.0,HIMACHAL PRADESH,Solan,49.01953210916032,94.65804456315456,93.72562920950016,99.37009640589967,73.438,0.319
2,31,159,Darlaghat,6958,36763,157.2176835054615,234.0,HIMACHAL PRADESH,Solan,44.257108010106826,100.0,100.0,100.0,12.3594,0.0786
2,31,160,Ramshahr,6341,32594,188.7889055140904,173.0,HIMACHAL PRADESH,Solan,33.58777880899752,100.0,100.0,100.0,27.1822,0.144
2,31,161,Nalagarh,22347,114211,348.00424625036527,328.0,HIMACHAL PRADESH,Solan,64.21473370161944,90.62437068233358,89.34980086812547,99.44253553774044,39.9254,0.1147
2,31,162,Baddi,20365,90942,231.5017003255033,393.0,HIMACHAL PRADESH,Solan,87.96911630180583,67.10980625013745,58.98846059415664,96.98058373214036,1.7007,0.0073
2,31,163,Krishangarh,5023,24511,121.16717853083348,202.0,HIMACHAL PRADESH,Solan,41.45512061025498,100.0,100.0,100.0,34.9723,0.2886
2,31,164,Kasauli,15698,67264,168.02974583718373,400.0,HIMACHAL PRADESH,Solan,93.42393468362998,81.2039129400571,79.3604280800102,93.3940267869264,13.0702,0.0778
2,31,165,Solan,26189,116598,260.84872665446363,447.0,HIMACHAL PRADESH,Solan,100.39918666994902,60.681143758898095,57.10030929015999,95.44180255257668,60.8216,0.2332
2,31,166,Kandaghat,8220,40529,230.26603605902085,176.0,HIMACHAL PRADESH,Solan,35.697839510700064,100.0,100.0,100.0,69.4907,0.3018
2,32,169,Pachhad,10549,53800,394.0790603043324,137.0,HIMACHAL PRADESH,Sirmaur,26.768740241750997,100.0,100.0,100.0,0.2243,0.0006
